shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10173,-20.341063,148.646450,70016
10173,-20.339379,148.646695,70017
10173,-20.338711,148.646807,70018
10173,-20.338215,148.646946,70019
10173,-20.337776,148.647104,70020
10173,-20.337349,148.647282,70021
10173,-20.336872,148.647560,70022
10173,-20.335708,148.648299,70023
10173,-20.334946,148.648702,70024
10173,-20.334401,148.648913,70025
10173,-20.333944,148.649042,70026
10173,-20.333832,148.649064,70027
10173,-20.333832,148.649064,80001
10173,-20.333517,148.649126,80002
10173,-20.332629,148.649264,80003
10173,-20.332200,148.649332,80004
10173,-20.331167,148.649537,80005
10173,-20.330419,148.649825,80006
10173,-20.328765,148.650344,80007
10173,-20.326040,148.651614,80008
10173,-20.322977,148.653080,80009
10173,-20.322611,148.653219,80010
10173,-20.322611,148.653219,90001
10173,-20.322215,148.653369,90002
10173,-20.321480,148.653640,90003
10173,-20.317268,148.654976,90004
10173,-20.311875,148.656708,90005
10173,-20.310734,148.657415,90006
10173,-20.310172,148.657944,90007
10173,-20.308269,148.660011,90008
10173,-20.308220,148.660064,90009
10173,-20.308220,148.660064,100001
10173,-20.305293,148.663275,100002
10173,-20.304819,148.663863,100003
10173,-20.304377,148.664581,100004
10173,-20.304084,148.665111,100005
10173,-20.303196,148.666605,100006
10173,-20.302634,148.667287,100007
10173,-20.301673,148.668111,100008
10173,-20.301345,148.668342,100009
10173,-20.301345,148.668342,110001
10173,-20.299147,148.669898,110002
10173,-20.299147,148.669898,120001
10173,-20.299146,148.669899,120002
10173,-20.298142,148.670758,120003
10173,-20.296465,148.672335,120004
10173,-20.295581,148.672968,120005
10173,-20.291739,148.675719,120006
10173,-20.289425,148.677332,120007
10173,-20.289117,148.674614,120008
10173,-20.289117,148.674614,130001
10173,-20.289005,148.673625,130002
10173,-20.288871,148.672436,130003
10173,-20.289625,148.672350,130004
10173,-20.291363,148.672367,130005
10173,-20.291739,148.675719,130006
10173,-20.289425,148.677332,130007
10173,-20.288454,148.677999,130008
10173,-20.287825,148.678507,130009
10173,-20.287744,148.678419,130010
10173,-20.287565,148.678534,130011
10173,-20.287188,148.678919,130012
10173,-20.287188,148.678919,140001
10173,-20.286964,148.679149,140002
10173,-20.286957,148.679161,140003
10173,-20.286960,148.679205,140004
10173,-20.287087,148.679325,140005
10173,-20.286898,148.679573,140006
10173,-20.286577,148.680107,140007
10173,-20.286255,148.680732,140008
10173,-20.286112,148.681103,140009
10173,-20.285874,148.681942,140010
10173,-20.285874,148.681942,150001
10173,-20.285601,148.682908,150002
10173,-20.285353,148.683661,150003
10173,-20.285163,148.684144,150004
10173,-20.284863,148.684746,150005
10173,-20.284515,148.685383,150006
10173,-20.284515,148.685383,160001
10173,-20.284356,148.685674,160002
10173,-20.283212,148.687732,160003
10173,-20.282785,148.688463,160004
10173,-20.282553,148.688823,160005
10173,-20.282343,148.689183,160006
10173,-20.282212,148.689321,160007
10173,-20.282190,148.689317,160008
10173,-20.282158,148.689321,160009
10173,-20.282127,148.689331,160010
10173,-20.282099,148.689349,160011
10173,-20.282075,148.689372,160012
10173,-20.282056,148.689400,160013
10173,-20.282043,148.689431,160014
10173,-20.282036,148.689465,160015
10173,-20.282037,148.689502,160016
10173,-20.281856,148.689688,160017
10173,-20.281503,148.689964,160018
10173,-20.280850,148.690326,160019
10173,-20.280850,148.690326,170001
10173,-20.280723,148.690397,170002
10173,-20.280111,148.690695,170003
10173,-20.279431,148.690976,170004
10173,-20.278571,148.691325,170005
10173,-20.278218,148.691493,170006
10173,-20.278001,148.691634,170007
10173,-20.277764,148.691848,170008
10173,-20.277542,148.692118,170009
10173,-20.277347,148.692477,170010
10173,-20.277184,148.692922,170011
10173,-20.277059,148.693242,170012
10173,-20.277034,148.693244,170013
10173,-20.277006,148.693254,170014
10173,-20.276981,148.693271,170015
10173,-20.276959,148.693291,170016
10173,-20.276941,148.693316,170017
10173,-20.276929,148.693345,170018
10173,-20.276923,148.693386,170019
10173,-20.276923,148.693408,170020
10173,-20.276929,148.693439,170021
10173,-20.276941,148.693468,170022
10173,-20.276959,148.693493,170023
10173,-20.276981,148.693514,170024
10173,-20.277006,148.693530,170025
10173,-20.277011,148.693858,170026
10173,-20.277025,148.694324,170027
10173,-20.277025,148.694391,170028
10173,-20.277025,148.694391,180001
10173,-20.277028,148.695206,180002
10173,-20.277037,148.695592,180003
10173,-20.277045,148.696269,180004
10173,-20.277025,148.696281,180005
10173,-20.276998,148.696307,180006
10173,-20.276976,148.696339,180007
10173,-20.276961,148.696375,180008
10173,-20.276953,148.696413,180009
10173,-20.276954,148.696459,180010
10173,-20.276961,148.696491,180011
10173,-20.276976,148.696527,180012
10173,-20.276998,148.696559,180013
10173,-20.277025,148.696585,180014
10173,-20.277057,148.696605,180015
10173,-20.277077,148.696612,180016
10173,-20.277218,148.697623,180017
10173,-20.277275,148.698324,180018
10173,-20.277272,148.698704,180019
10173,-20.277231,148.699009,180020
10173,-20.277160,148.699317,180021
10173,-20.277258,148.699342,180022
10173,-20.277488,148.699402,180023
10173,-20.278019,148.699663,180024
10173,-20.278316,148.699847,180025
10173,-20.278316,148.699847,190001
10173,-20.278811,148.700156,190002
10173,-20.278751,148.700373,190003
10173,-20.278819,148.700609,190004
10173,-20.279044,148.700820,190005
10173,-20.279344,148.700741,190006
10173,-20.279422,148.700664,190007
10173,-20.279501,148.700566,190008
10173,-20.279530,148.700386,190009
10173,-20.279472,148.700183,190010
10173,-20.279325,148.700027,190011
10173,-20.279179,148.699987,190012
10173,-20.279051,148.700017,190013
10173,-20.278939,148.700053,190014
10173,-20.278811,148.700156,190015
10173,-20.278019,148.699663,190016
10173,-20.277488,148.699402,190017
10173,-20.277258,148.699342,190018
10173,-20.277160,148.699317,190019
10173,-20.277012,148.699710,190020
10173,-20.276926,148.699900,190021
10173,-20.276656,148.700307,190022
10173,-20.276468,148.700547,190023
10173,-20.276060,148.701052,190024
10173,-20.275433,148.701845,190025
10173,-20.274837,148.702480,190026
10173,-20.274183,148.703110,190027
10173,-20.273967,148.703324,190028
10173,-20.273945,148.703352,190029
10173,-20.273945,148.703352,200001
10173,-20.273783,148.703548,200002
10173,-20.273597,148.703830,200003
10173,-20.273284,148.704354,200004
10173,-20.273188,148.704523,200005
10173,-20.273188,148.704523,210001
10173,-20.272824,148.705152,210002
10173,-20.272105,148.706444,210003
10173,-20.271931,148.706787,210004
10173,-20.271108,148.708980,210005
10173,-20.270961,148.709329,210006
10173,-20.270808,148.709610,210007
10173,-20.270623,148.709880,210008
10173,-20.270433,148.710116,210009
10173,-20.269257,148.711207,210010
10173,-20.269120,148.711375,210011
10173,-20.268973,148.711611,210012
10173,-20.268878,148.711819,210013
10173,-20.268735,148.712067,210014
10173,-20.268582,148.712276,210015
10173,-20.268361,148.712466,210016
10173,-20.268144,148.712607,210017
10173,-20.266831,148.713270,210018
10173,-20.266631,148.713388,210019
10173,-20.266478,148.713529,210020
10173,-20.266288,148.713793,210021
10173,-20.266235,148.714018,210022
10173,-20.266230,148.714254,210023
10173,-20.266242,148.714417,210024
10173,-20.266298,148.714620,210025
10173,-20.266447,148.714897,210026
10173,-20.266708,148.715259,210027
10173,-20.266886,148.715423,210028
10173,-20.267119,148.715570,210029
10173,-20.267417,148.715722,210030
10173,-20.267594,148.715795,210031
10173,-20.267590,148.715816,210032
10173,-20.267590,148.715836,210033
10173,-20.267594,148.715857,210034
10173,-20.267602,148.715876,210035
10173,-20.267614,148.715892,210036
10173,-20.267628,148.715906,210037
10173,-20.267645,148.715917,210038
10173,-20.267664,148.715923,210039
10173,-20.267683,148.715925,210040
10173,-20.267700,148.715923,210041
10173,-20.267712,148.715979,210042
10173,-20.267754,148.716093,210043
10173,-20.267808,148.716270,210044
10173,-20.267902,148.716535,210045
10173,-20.267945,148.716666,210046
10173,-20.268372,148.717667,210047
10173,-20.268372,148.717667,220001
10173,-20.269120,148.719422,220002
10173,-20.269107,148.719429,220003
10173,-20.269097,148.719439,220004
10173,-20.269089,148.719450,220005
10173,-20.269083,148.719464,220006
10173,-20.269081,148.719478,220007
10173,-20.269083,148.719506,220008
10173,-20.269089,148.719520,220009
10173,-20.269107,148.719542,220010
10173,-20.269112,148.719544,220011
10173,-20.268998,148.719746,220012
10173,-20.268742,148.720360,220013
10173,-20.268690,148.720515,220014
10173,-20.268658,148.720663,220015
10173,-20.268645,148.720845,220016
10173,-20.268660,148.721056,220017
10173,-20.268700,148.721246,220018
10173,-20.268757,148.721449,220019
10173,-20.268777,148.721608,220020
10173,-20.268764,148.721609,220021
10173,-20.268739,148.721618,220022
10173,-20.268716,148.721632,220023
10173,-20.268696,148.721651,220024
10173,-20.268681,148.721674,220025
10173,-20.268670,148.721699,220026
10173,-20.268664,148.721727,220027
10173,-20.268664,148.721755,220028
10173,-20.268670,148.721783,220029
10173,-20.268681,148.721808,220030
10173,-20.268692,148.721825,220031
10173,-20.268696,148.721831,220032
10173,-20.268716,148.721850,220033
10173,-20.268739,148.721864,220034
10173,-20.268764,148.721873,220035
10173,-20.268790,148.721876,220036
